IDENTIFIER: Reference ID,FORMULA,Microstructure,Processing method,grain size,Exp. Density,Calculated Density,HV,Type of test,Test temperature,YS,UTS,Elongation,Elongation plastic,Exp. Young modulus,Calculated Young modulus,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,B2,BCC,FCC,Sec.,HCP,L12,Laves,Other,ANNEAL,CAST,OTHER,POWDER,WROUGHT,C_test,T_test
165,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,,9.08,9.1,,C,1200,89,,,,,107,0,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
165,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,,5.98,6,,C,1200,100,,,,,189,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
165,Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,,6.46,6.5,,C,1200,200,,,,,151,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
165,Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,,8.96,9,,C,1200,60,,,,,126,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,1,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
165,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,,9.93,9.9,,C,1200,556,,,,,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
165,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,,8.68,8.7,,C,1200,187,,,,,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
165,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,,10.18,10.2,,C,1200,404,,,,,143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
165,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,,9.89,9.9,,C,1200,92,,,,,107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
165,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,,10.91,11,,C,1200,659,,,,,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
165,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,,11.72,11.8,,C,1200,586,,,,,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
